district,housing_type,eq_rent,conversion_rate_annual,min_deposit_floor,default_slider_pct,moving_cost_avg,brokerage_fee_avg
강남구,아파트,1580000,4.73,116620000,60,220000,860000
강동구,아파트,1050000,4.68,81980000,55,220000,570000
강북구,아파트,900000,5.12,20000000,59,220000,350000
강서구,아파트,920000,4.45,59440000,48,220000,530000
관악구,아파트,1130000,4.53,50000000,62,220000,520000
광진구,아파트,1510000,4.22,95000000,56,220000,810000
구로구,아파트,680000,4.58,59710000,62,220000,330000
금천구,아파트,1020000,5.1,40000000,54,220000,560000
노원구,아파트,840000,4.72,20000000,48,220000,460000
도봉구,아파트,780000,4.85,20000000,50,220000,410000
동대문구,아파트,1120000,4.75,51980000,60,220000,510000
동작구,아파트,1520000,4.52,89000000,52,220000,940000
마포구,아파트,1390000,4.72,79920000,56,220000,650000
서대문구,아파트,1440000,4.68,89800000,55,220000,660000
서초구,아파트,1560000,4.62,116000000,53,220000,850000
성동구,아파트,2230000,4.95,100000000,49,220000,1200000
성북구,아파트,1480000,4.71,83000000,50,220000,760000
송파구,아파트,1280000,4.43,100000000,59,220000,640000
양천구,아파트,1180000,4.72,69990000,49,220000,570000
영등포구,아파트,1350000,4.75,91020000,57,220000,680000
용산구,아파트,1780000,5.06,100000000,57,220000,670000
은평구,아파트,1020000,4.78,86000000,59,220000,460000
종로구,아파트,1110000,4.92,50000000,69,220000,500000
중구,아파트,1490000,5.07,50000000,61,220000,540000
중랑구,아파트,750000,4.36,53000000,63,220000,370000
강남구,연립·다세대,1020000,4.73,20000000,65,220000,450000
강동구,연립·다세대,850000,4.68,50000000,57,220000,490000
강북구,연립·다세대,620000,5.12,20000000,51,220000,300000
강서구,연립·다세대,740000,4.45,30000000,49,220000,410000
관악구,연립·다세대,760000,4.53,50000000,64,220000,400000
광진구,연립·다세대,810000,4.22,40000000,56,220000,490000
구로구,연립·다세대,650000,4.58,20000000,49,220000,330000
금천구,연립·다세대,830000,5.1,30000000,50,220000,430000
노원구,연립·다세대,510000,4.72,10000000,65,220000,260000
도봉구,연립·다세대,610000,4.85,20000000,49,220000,300000
동대문구,연립·다세대,780000,4.75,20000000,56,220000,330000
동작구,연립·다세대,790000,4.52,30000000,59,220000,420000
마포구,연립·다세대,790000,4.72,20000000,55,220000,400000
서대문구,연립·다세대,670000,4.68,20000000,65,220000,300000
서초구,연립·다세대,1020000,4.62,39440000,57,220000,540000
성동구,연립·다세대,830000,4.95,30000000,48,220000,390000
성북구,연립·다세대,720000,4.71,20000000,54,220000,340000
송파구,연립·다세대,800000,4.43,45000000,67,220000,430000
양천구,연립·다세대,730000,4.72,30000000,47,220000,390000
영등포구,연립·다세대,890000,4.75,50000000,57,220000,500000
용산구,연립·다세대,970000,5.06,20000000,33,220000,600000
은평구,연립·다세대,720000,4.78,30000000,47,220000,390000
종로구,연립·다세대,700000,4.92,20000000,67,220000,300000
중구,연립·다세대,800000,5.07,20000000,62,220000,340000
중랑구,연립·다세대,800000,4.36,50000000,48,220000,500000
강남구,오피스텔,910000,4.73,10000000,69,220000,330000
강동구,오피스텔,720000,4.68,10000000,71,220000,300000
강북구,오피스텔,700000,5.12,10000000,85,220000,280000
강서구,오피스텔,690000,4.45,10000000,69,220000,300000
관악구,오피스텔,660000,4.53,20000000,84,220000,300000
광진구,오피스텔,790000,4.22,10000000,78,220000,300000
구로구,오피스텔,640000,4.58,10000000,75,220000,300000
금천구,오피스텔,700000,5.1,10000000,60,220000,360000
노원구,오피스텔,590000,4.72,10000000,85,220000,260000
도봉구,오피스텔,680000,4.85,10000000,74,220000,300000
동대문구,오피스텔,740000,4.75,10000000,71,220000,300000
동작구,오피스텔,740000,4.52,10000000,74,220000,300000
마포구,오피스텔,750000,4.72,10000000,79,220000,300000
서대문구,오피스텔,820000,4.68,10000000,81,220000,300000
서초구,오피스텔,880000,4.62,10000000,70,220000,300000
성동구,오피스텔,820000,4.95,10000000,72,220000,300000
성북구,오피스텔,700000,4.71,20000000,76,220000,300000
송파구,오피스텔,910000,4.43,20000000,67,220000,440000
양천구,오피스텔,790000,4.72,10000000,63,220000,300000
영등포구,오피스텔,850000,4.75,30000000,62,220000,420000
용산구,오피스텔,1120000,5.06,20000000,53,220000,550000
은평구,오피스텔,620000,4.78,10000000,74,220000,280000
종로구,오피스텔,820000,4.92,10000000,73,220000,300000
중구,오피스텔,930000,5.07,10000000,61,220000,340000
중랑구,오피스텔,670000,4.36,20000000,58,220000,390000
